b_type,b_id,pga,gm,status,max_idr,T1,max_acc_x,max_acc_z,max_bs_x,max_bs_z,total_weight,n_floors,floor_h,max_resid_x,max_resid_z,has_abs_accel,has_energy,has_residual,energy_ke_final,energy_win_final
C1H,2X5JQ679DG,0.1,0001_CHICHI_TCU049_E,Success,0.001122668224340702,0.619588826695281,338.68357277594487,267.22399128993544,54082.7421875,54560.60546875,377462.31102117646,8,333.9509803921569,0.0646334450670973,0.02377780355316038,True,True,True,17.303483963012695,-313558.8125
C1H,2X5JQ679DG,0.1,0002_CHICHI_TCU051_E,Success,0.003260880476432852,0.619588826695281,465.70586933742396,600.0572578460557,81092.421875,121566.2265625,377462.31102117646,8,333.9509803921569,0.12957925659341885,0.08798912441453834,True,True,True,22.77898406982422,-1194365.875
C1H,2X5JQ679DG,0.1,0003_0331Hualian_TCU095_E,Success,0.0017555713868090208,0.619588826695281,246.3120221368153,344.71538025751516,40937.5859375,75610.765625,377462.31102117646,8,333.9509803921569,0.04479642283843958,0.06530872587692298,True,True,True,22.645368576049805,-198920.234375
C1H,2X5JQ679DG,0.1,0004_0206Meinong_CHY096_E,Success,0.0015229931001684142,0.6197973194267208,257.43296431558605,438.0496276582706,43583.05078125,68055.4375,377462.31102117646,8,333.9509803921569,0.008309660823689545,0.007315663943150627,True,True,True,0.021855199709534645,-176589.828125
C1H,2X5JQ679DG,0.1,0005_0206Meinong_CHY056_E,Success,0.0024750789317510495,0.6197973194267208,419.58521567300954,341.86915827768263,99293.9296875,70972.265625,377462.31102117646,8,333.9509803921569,0.006521641619328589,0.00916896407270954,True,True,True,1.604557752609253,-359388.03125
C1H,2X5JQ679DG,0.1,0006_0206Meinong_CHY053_E,Success,0.001519364715300842,0.6197973194267208,281.44834000600355,293.9553008210031,45271.57421875,68893.2734375,377462.31102117646,8,333.9509803921569,0.0023592808994094055,0.004791499556298609,True,True,True,0.1747809797525406,-217255.78125
C1H,2X5JQ679DG,0.1,0007_0206Meinong_CHY067_E,Success,0.0011718562420729973,0.6198296108790569,349.1530148332564,187.05750676612888,56311.10546875,45089.96484375,377462.31102117646,8,333.9509803921569,0.008624833636848872,0.022147596549926367,True,True,True,18.22490882873535,-149778.453125
C1H,2X5JQ679DG,0.1,0008_CHICHI_CHY046-E,Success,0.002385403634048995,0.6198296108790569,318.6646509182906,559.0961206414328,70748.2109375,106115.9921875,377462.31102117646,8,333.9509803921569,0.017062673208703676,0.048007913433375834,True,True,True,155.83251953125,-579821.9375
C1H,2X5JQ679DG,0.1,0009_CHICHI_TCU029-E,Success,0.0021955819968793983,0.6198814831710009,504.3453660042727,445.4818108310421,82368.015625,75650.6640625,377462.31102117646,8,333.9509803921569,0.0011785849920679036,0.002165114219043882,True,True,True,6.905147075653076,-353107.21875
C1H,2X5JQ679DG,0.2,0001_CHICHI_TCU049_E,Success,0.0025253486137787225,0.6199177568986923,544.0630194246595,570.4460019497606,88967.140625,110986.71875,377462.31102117646,8,333.9509803921569,0.11047750483440459,0.004240361520984651,True,True,True,17.942554473876953,-1103613.75
C1H,2X5JQ679DG,0.2,0002_CHICHI_TCU051_E,Success,0.005790649953891178,0.6199177568986923,712.5581226927698,1065.4498905644361,131986.03125,187725.765625,377462.31102117646,8,333.9509803921569,0.013136080715924979,0.15162698751428538,True,True,True,377.43878173828125,-2744537.5
